City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Port Elizabeth,ZA,-33.918,25.5701,54.68,79,9,5.26,clear sky
151,Chimore,BO,-16.9833,-65.1333,69.73,71,96,2.91,overcast clouds
152,Hofn,IS,64.2539,-15.2082,43.54,64,73,17.22,broken clouds
153,Gat,IL,31.61,34.7642,71.4,73,0,2.51,clear sky
154,Saint George,US,37.1041,-113.5841,88.27,19,1,1.01,clear sky
155,Novikovo,RU,51.1537,37.8879,46.0,69,73,5.37,broken clouds
156,Kieta,PG,-6.2167,155.6333,83.82,73,100,5.21,light rain
157,Belaya Gora,RU,68.5333,146.4167,25.36,68,74,10.25,broken clouds
158,Zeerust,ZA,-25.5369,26.0751,58.01,88,0,8.99,clear sky
159,Kapaa,US,22.0752,-159.319,84.18,70,20,4.0,light rain
160,Porteirinha,BR,-15.7433,-43.0283,83.3,25,54,3.98,broken clouds
161,Priverno,IT,41.4691,13.1856,72.73,74,87,4.88,overcast clouds
162,Avarua,CK,-21.2078,-159.775,73.45,94,75,13.8,haze
163,Aksu,CN,41.1231,80.2644,47.62,75,62,1.39,broken clouds
164,Wangaratta,AU,-36.3667,146.3333,54.19,74,90,13.8,overcast clouds
165,Omsukchan,RU,62.5333,155.8,20.1,86,100,11.83,overcast clouds
166,Sai Buri,TH,6.7013,101.6168,74.91,82,100,6.49,heavy intensity rain
167,Ugoofaaru,MV,5.6667,73.0,82.11,79,100,21.0,overcast clouds
168,Pangkalanbuun,ID,-2.6833,111.6167,77.09,83,57,2.71,broken clouds
169,Svetlyy,RU,54.675,20.1347,53.65,82,100,7.52,overcast clouds
170,Magadan,RU,59.5667,150.8,35.15,40,24,11.05,few clouds
171,Zaventem,BE,50.8837,4.473,56.05,81,0,12.66,clear sky
172,Svetlaya,RU,46.5389,138.3297,48.56,60,41,3.65,scattered clouds
173,Leh,IN,34.1667,77.5833,44.37,56,16,5.59,few clouds
174,Plastun,RU,44.7561,136.2939,50.45,51,100,4.18,overcast clouds
175,Amazar,RU,53.858,120.875,36.75,69,100,1.43,overcast clouds
176,Dingle,PH,10.9995,122.6711,77.67,92,99,7.23,light rain
177,Klaksvik,FO,62.2266,-6.589,45.52,78,100,26.73,overcast clouds
178,Ambon,ID,-3.6954,128.1814,84.34,89,20,2.3,light rain
179,Walvis Bay,NA,-22.9575,14.5053,55.09,87,0,6.91,clear sky
180,Namibe,AO,-15.1961,12.1522,62.94,73,14,9.15,few clouds
181,Tautira,PF,-17.7333,-149.15,84.22,76,12,15.17,light rain
182,Pangody,RU,65.85,74.4859,34.36,97,100,9.33,overcast clouds
183,Melfort,CA,52.8667,-104.6177,53.73,28,72,8.05,broken clouds
184,Chibuto,MZ,-24.6867,33.5306,66.38,84,100,7.67,overcast clouds
185,Patea,NZ,-39.7583,174.4833,62.67,88,85,3.56,overcast clouds
186,Vestmannaeyjar,IS,63.4427,-20.2734,41.72,66,100,6.98,overcast clouds
187,Grand Gaube,MU,-20.0064,57.6608,68.38,80,0,1.99,clear sky
188,Umm Lajj,SA,25.0213,37.2685,80.01,65,7,10.63,clear sky
189,San Policarpo,PH,12.1791,125.5072,79.02,86,100,9.62,heavy intensity rain
190,Bonnyville,CA,54.2668,-110.735,56.52,34,28,4.81,scattered clouds
191,Ballina,AU,-28.8667,153.5667,77.77,30,0,1.95,clear sky
192,Kruisfontein,ZA,-34.0033,24.7314,48.22,91,1,3.83,clear sky
193,Poum,NC,-20.2333,164.0167,76.14,79,1,12.75,clear sky
194,Kyra,RU,49.5776,111.9753,32.59,68,4,2.53,clear sky
195,Meru,KE,0.0463,37.6559,59.5,74,64,1.72,broken clouds
196,Akyab,MM,20.15,92.9,78.46,88,26,4.9,scattered clouds
197,Tura,IN,25.5198,90.2201,71.06,96,62,4.12,broken clouds
198,Lakatoro,VU,-16.0999,167.4164,83.08,73,20,5.08,few clouds
199,Kirkwall,GB,58.9848,-2.9587,46.74,93,16,3.44,few clouds
200,Tselinnoye,RU,53.0833,85.6667,38.75,72,100,3.78,overcast clouds
201,Komsomolskiy,UZ,40.4272,71.7189,49.42,81,1,4.61,clear sky
202,High Rock,BS,26.6208,-78.2833,78.82,72,19,14.25,few clouds
203,Salina,US,38.8403,-97.6114,78.93,48,1,4.61,clear sky
204,Norman Wells,CA,65.282,-126.8329,32.04,93,90,14.97,light shower snow
205,Asgabat,TM,37.95,58.3833,53.46,35,40,4.61,scattered clouds
206,Port Blair,IN,11.6667,92.75,80.19,83,85,7.87,overcast clouds
207,Asau,RO,46.4333,26.4,48.76,81,81,0.92,broken clouds
208,Chokurdakh,RU,70.6333,147.9167,22.37,94,100,12.53,overcast clouds
209,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,4.61,clear sky
210,Katima Mulilo,NA,-17.5,24.2667,74.75,46,91,4.59,overcast clouds
211,Hami,CN,42.8,93.45,54.21,20,100,3.18,overcast clouds
212,Liverpool,GB,53.4106,-2.9779,53.78,88,40,1.99,scattered clouds
213,Kropotkin,RU,45.4375,40.5756,47.17,87,100,17.87,overcast clouds
214,Saskylakh,RU,71.9167,114.0833,29.35,94,100,17.0,light snow
215,Faanui,PF,-16.4833,-151.75,78.67,71,10,16.22,light rain
216,Erenhot,CN,43.6475,111.9767,45.32,48,68,7.11,broken clouds
217,Mogadishu,SO,2.0371,45.3438,77.74,85,89,11.68,overcast clouds
218,Praia,CV,14.9215,-23.5087,79.34,83,20,9.22,few clouds
219,Puerto Escondido,MX,15.85,-97.0667,85.03,61,75,3.44,thunderstorm
220,Tasiilaq,GL,65.6145,-37.6368,33.96,62,50,6.08,scattered clouds
221,Ust-Tsilma,RU,65.441,52.1498,40.41,87,81,7.9,broken clouds
222,Mulege,MX,26.8833,-111.9833,89.58,38,17,6.82,few clouds
223,Montes Altos,BR,-5.8333,-47.0667,83.12,56,90,5.17,overcast clouds
224,Kholtoson,RU,50.2981,103.3097,26.6,84,59,1.32,broken clouds
225,Morehead,US,37.2711,-87.1764,73.11,87,40,0.0,scattered clouds
